time,key,action
2024-08-04 03:50:50,ctrl_l,press
2024-08-04 03:50:50,Ctrl+A,hotkey
2024-08-04 03:50:50,ctrl_l,release
2024-08-04 03:50:50,A,release
2024-08-04 03:50:55,ctrl_l,press
2024-08-04 03:50:55,Ctrl+C,hotkey
2024-08-04 03:50:55,ctrl_l,release
2024-08-04 03:50:55,C,release
2024-08-04 03:51:00,P,press
2024-08-04 03:51:01,Y,press
2024-08-04 03:51:01,P,release
2024-08-04 03:51:01,Y,release
2024-08-04 03:51:01,T,press
2024-08-04 03:51:01,T,release
2024-08-04 03:51:02,backspace,press
2024-08-04 03:51:02,backspace,release
2024-08-04 03:51:02,I,press
2024-08-04 03:51:02,S,press
2024-08-04 03:51:02,N,press
2024-08-04 03:51:02,I,release
2024-08-04 03:51:02,N,release
2024-08-04 03:51:02,S,release
2024-08-04 03:51:02,T,press
2024-08-04 03:51:02,A,press
2024-08-04 03:51:02,T,release
2024-08-04 03:51:02,A,release
2024-08-04 03:51:03,L,press
2024-08-04 03:51:03,L,release
2024-08-04 03:51:03,L,press
2024-08-04 03:51:03,E,press
2024-08-04 03:51:03,L,release
2024-08-04 03:51:03,R,press
2024-08-04 03:51:03,space,press
2024-08-04 03:51:03,E,release
2024-08-04 03:51:03,R,release
2024-08-04 03:51:03,space,release
2024-08-04 03:51:04,R,press
2024-08-04 03:51:04,U,press
2024-08-04 03:51:04,R,release
2024-08-04 03:51:04,U,release
2024-08-04 03:51:04,H,press
2024-08-04 03:51:04,E,press
2024-08-04 03:51:04,H,release
2024-08-04 03:51:04,space,press
2024-08-04 03:51:04,E,release
2024-08-04 03:51:04,space,release
2024-08-04 03:51:05,backspace,press
2024-08-04 03:51:05,backspace,release
2024-08-04 03:51:05,backspace,press
2024-08-04 03:51:05,backspace,release
2024-08-04 03:51:05,backspace,press
2024-08-04 03:51:05,backspace,release
2024-08-04 03:51:05,backspace,press
2024-08-04 03:51:05,backspace,release
2024-08-04 03:51:05,backspace,press
2024-08-04 03:51:05,backspace,release
2024-08-04 03:51:05,shift,press
2024-08-04 03:51:05,shift,release
2024-08-04 03:51:06,D,press
2024-08-04 03:51:06,A,press
2024-08-04 03:51:06,D,release
2024-08-04 03:51:06,A,release
2024-08-04 03:51:06,B,press
2024-08-04 03:51:06,A,press
2024-08-04 03:51:06,B,release
2024-08-04 03:51:06,O,press
2024-08-04 03:51:06,A,release
2024-08-04 03:51:07,O,release
2024-08-04 03:51:07,space,press
2024-08-04 03:51:07,space,release
2024-08-04 03:51:07,R,press
2024-08-04 03:51:07,U,press
2024-08-04 03:51:07,R,release
2024-08-04 03:51:07,U,release
2024-08-04 03:51:07,H,press
2024-08-04 03:51:07,E,press
2024-08-04 03:51:07,H,release
2024-08-04 03:51:07,space,press
