time,key,action
2024-08-03 00:21:38,ctrl_l,press
2024-08-03 00:21:38,Ctrl+S,hotkey
2024-08-03 00:21:38,ctrl_l,release
2024-08-03 00:21:38,S,release
2024-08-03 00:21:39,C,press
2024-08-03 00:21:39,A,press
2024-08-03 00:21:39,S,press
2024-08-03 00:21:39,A,release
2024-08-03 00:21:39,A,press
2024-08-03 00:21:39,S,release
2024-08-03 00:21:39,C,release
2024-08-03 00:21:39,C,press
2024-08-03 00:21:40,A,release
2024-08-03 00:21:40,C,release
2024-08-03 00:21:40,backspace,press
2024-08-03 00:21:40,backspace,release
2024-08-03 00:21:40,backspace,press
2024-08-03 00:21:40,backspace,release
2024-08-03 00:21:40,backspace,press
2024-08-03 00:21:41,backspace,release
2024-08-03 00:21:41,backspace,press
2024-08-03 00:21:41,backspace,release
2024-08-03 00:21:41,backspace,press
2024-08-03 00:21:41,backspace,release
2024-08-03 00:21:41,ctrl_l,press
2024-08-03 00:21:41,Ctrl+S,hotkey
2024-08-03 00:21:41,ctrl_l,release
2024-08-03 00:21:41,S,release
