time,key
2024-07-28 18:17:49,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:17:49,Key.ctrl_l+S+S
2024-07-28 18:17:49,S+Key.ctrl_l
2024-07-28 18:17:49,S
2024-07-28 18:17:50,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:17:51,C+Key.ctrl_l+C
2024-07-28 18:17:51,Key.ctrl_l+C
2024-07-28 18:17:51,Key.ctrl_l
2024-07-28 18:17:52,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:17:52,Key.ctrl_l+S+S
2024-07-28 18:17:52,S+Key.ctrl_l
2024-07-28 18:17:52,S
2024-07-28 18:19:37,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:19:37,A+Key.ctrl_l+A
2024-07-28 18:19:37,A+Key.ctrl_l
2024-07-28 18:19:38,A
2024-07-28 18:19:41,Key.f2+Key.f2
2024-07-28 18:19:41,Key.f2
2024-07-28 18:19:42,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:19:42,Key.ctrl_l+S+S
2024-07-28 18:19:42,S+Key.ctrl_l
2024-07-28 18:19:42,S
2024-07-28 18:20:24,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:20:24,Key.ctrl_l+S+S
2024-07-28 18:20:24,S+Key.ctrl_l
2024-07-28 18:20:24,S
2024-07-28 18:23:17,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:25:23,C+Key.ctrl_l+C
2024-07-28 18:25:23,Key.ctrl_l+C
2024-07-28 18:25:23,I+Key.ctrl_l+I
2024-07-28 18:25:24,Key.ctrl_l+I
2024-07-28 18:25:24,Key.ctrl_l+W+W
2024-07-28 18:25:24,A+Key.ctrl_l+W+A
2024-07-28 18:25:24,A+I+Key.ctrl_l+W+I
2024-07-28 18:25:24,A+I+Key.ctrl_l+W
2024-07-28 18:25:24,A+Key.ctrl_l+I
2024-07-28 18:25:24,Key.ctrl_l+A
2024-07-28 18:25:24,Key.ctrl_l+Key.space+Key.space
2024-07-28 18:25:24,Key.ctrl_l+Key.space
2024-07-28 18:25:24,",+Key.ctrl_l+,"
2024-07-28 18:25:24,"Key.ctrl_l+,"
2024-07-28 18:25:24,Key.ctrl_l+Y+Y
2024-07-28 18:25:24,I+Key.ctrl_l+Y+I
2024-07-28 18:25:24,I+Key.ctrl_l+Y
2024-07-28 18:25:24,Key.ctrl_l+I
2024-07-28 18:25:25,Key.ctrl_l+N+N
2024-07-28 18:25:25,Key.ctrl_l+N+W+W
2024-07-28 18:25:25,Key.ctrl_l+W+N
2024-07-28 18:25:25,Key.ctrl_l+Key.space+W+Key.space
2024-07-28 18:25:25,Key.ctrl_l+Key.space+W
2024-07-28 18:25:25,Key.ctrl_l+Key.space
2024-07-28 18:25:28,Key.ctrl_l+X+X
2024-07-28 18:25:28,X+Key.ctrl_l
2024-07-28 18:25:28,X
2024-07-28 18:25:29,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:25:29,Key.ctrl_l+Z+Z
2024-07-28 18:25:29,Key.ctrl_l+Z
2024-07-28 18:25:29,Key.ctrl_l
2024-07-28 18:25:31,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:25:31,Key.ctrl_l+X+X
2024-07-28 18:25:31,X+Key.ctrl_l
2024-07-28 18:25:31,X
2024-07-28 18:25:32,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:25:32,Key.ctrl_l+V+V
2024-07-28 18:25:32,Key.ctrl_l+V
2024-07-28 18:25:32,Key.ctrl_l
2024-07-28 18:25:37,Key.ctrl_l+Key.ctrl_l
2024-07-28 18:25:37,C+Key.ctrl_l+C
2024-07-28 18:25:37,C+Key.ctrl_l
2024-07-28 18:25:37,C
2024-07-28 18:25:42,X+X
2024-07-28 18:25:42,A+X+A
2024-07-28 18:25:42,A+I+X+I
2024-07-28 18:25:42,A+I+X
2024-07-28 18:25:42,A+I+N+N
2024-07-28 18:25:42,I+N+A
2024-07-28 18:25:42,N+I
2024-07-28 18:25:42,N
2024-07-28 18:25:43,D+D
2024-07-28 18:25:43,D+U+U
2024-07-28 18:25:43,D+I+U+I
2024-07-28 18:25:43,I+U+D
2024-07-28 18:25:43,I+U
2024-07-28 18:25:43,I
2024-07-28 18:25:43,Key.space+Key.space
2024-07-28 18:25:43,Key.space
2024-07-28 18:25:43,K+K
2024-07-28 18:25:43,E+K+E
2024-07-28 18:25:43,E+K
2024-07-28 18:25:43,E
2024-07-28 18:25:43,Y+Y
2024-07-28 18:25:44,Y
2024-07-28 18:25:44,Key.enter+Key.enter
