time,key,action
2024-08-01 23:59:29,A,press
2024-08-01 23:59:29,A,release
2024-08-01 23:59:29,C,press
2024-08-01 23:59:30,A,press
2024-08-01 23:59:30,C,release
2024-08-01 23:59:30,A,release
2024-08-01 23:59:30,backspace,press
2024-08-01 23:59:31,backspace,release
2024-08-01 23:59:31,backspace,press
2024-08-01 23:59:31,backspace,release
2024-08-01 23:59:31,backspace,press
2024-08-01 23:59:31,backspace,release
2024-08-01 23:59:31,space,press
2024-08-01 23:59:31,space,release
2024-08-01 23:59:31,space,press
2024-08-01 23:59:32,space,release
2024-08-01 23:59:32,space,press
2024-08-01 23:59:32,space,release
2024-08-01 23:59:32,space,press
2024-08-01 23:59:32,space,release
2024-08-01 23:59:32,backspace,press
2024-08-01 23:59:32,backspace,release
2024-08-01 23:59:32,backspace,press
2024-08-01 23:59:32,backspace,release
2024-08-01 23:59:32,backspace,press
2024-08-01 23:59:32,backspace,release
2024-08-01 23:59:32,backspace,press
2024-08-01 23:59:32,backspace,release
2024-08-01 23:59:33,ctrl_l,press
2024-08-01 23:59:33,Ctrl+S,hotkey
2024-08-01 23:59:33,ctrl_l,release
2024-08-01 23:59:33,S,release
